i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1,lid_10,rc_10,exp_20|10
811,,,,0.0008962,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,2.4e-06,0.0003712,0.0330368,31.084991,2.141741,1.0207101
812,,,,0.0152298,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,3.8e-06,0.0182284,0.8822274,37.27861,1.6918168,1.018641
813,,,,0.0023102,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,4.2e-06,0.0018692,0.2543678,37.007614,1.9426405,1.0186924
814,,,,0.0389406,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,3.6e-06,0.0211794,0.7940974,36.69239,1.7111034,1.014935
815,,,,0.008211,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,5.8e-06,0.0533056,0.9749918,54.218132,1.611686,1.0128505
816,,,,0.1054824,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-06,7.6e-06,0.0334776,0.9579224,50.139866,1.6598315,1.0239534
817,,,,0.0039084,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,3.8e-06,0.0016992,0.0824302,65.177925,2.1169617,1.0369365
818,,,,0.0654158,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,6e-07,0.0032098,0.462141,41.599197,1.7740312,1.0264804
819,,,,0.0025962,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,2.2e-06,0.000308,0.0414824,34.81177,2.1133041,1.029921
820,,,,0.006761,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,6e-06,0.0185278,0.6129914,45.695656,1.7941637,1.0151609
821,,,,0.10504,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.8e-06,0.000224,0.6793786,1.0,86.78191,1.3810155,1.0094275
822,,,,0.0034138,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,1.06e-05,0.0628678,0.972716,55.38982,1.6237571,1.0105306
823,,,,0.0008902,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,1.64e-05,0.0016032,0.2758404,73.20348,2.0053332,1.0072955
824,,,,0.0574232,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,8.6e-06,0.0269338,0.9071612,37.652775,1.6986926,1.0081545
825,,,,0.0033784,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,1e-06,9.68e-05,0.043003,23.58793,2.0380466,1.0632039
826,,,,0.0008258,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,8.8e-06,0.000403,0.0276158,60.90186,2.209631,1.014412
827,,,,0.0009122,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,9.6e-06,0.0036864,0.2214112,60.244946,2.0114162,1.0091366
828,,,,0.0604714,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),0.0001682,0.00449,0.1663794,0.9930394,165.88011,1.6274717,1.0025642
829,,,,0.0478866,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-06,4.06e-05,0.0813874,0.9379668,77.19243,1.7151165,1.0110849
830,,,,0.0014786,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,8.6e-06,0.0020052,0.4211956,45.44111,1.9128441,1.0232441
831,,,,0.0011912,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,1.6e-06,0.0010202,0.1370292,25.128279,1.9834377,1.0208535
832,,,,0.0047726,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,1.8e-06,0.001561,0.2280998,27.000244,1.9302827,1.0194087
833,,,,0.0047588,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.78e-05,0.0001308,0.045375,0.8498284,127.982925,1.8306971,1.0066209
834,,,,0.0134376,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,4.6e-06,0.0190268,0.5611972,45.52601,1.8140608,1.0197192
835,,,,0.0054614,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.46e-05,0.000624,0.0545892,0.981535,113.73338,1.6824381,1.002338
836,,,,0.021225,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,1.34e-05,0.0596424,0.9822906,70.103325,1.6351312,1.0181818
837,,,,0.000868,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6.8e-06,4.1e-05,0.017446,0.9311874,104.39969,1.7603613,1.0130323
838,,,,0.002388,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,1.72e-05,0.024018,0.290678,82.978714,1.9428223,1.0152245
839,,,,0.2825184,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.36e-05,0.0002986,0.7653834,1.0,165.88971,1.4014635,1.0063951
840,,,,0.0010054,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.2e-06,1.06e-05,0.0020542,0.6009298,60.84781,1.8683257,1.0172538
841,,,,0.0025672,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,6.6e-06,0.0054048,0.535955,35.85173,1.859028,1.0165236
842,,,,0.0135192,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,2.2e-06,0.0041896,0.6755478,31.793495,1.7584912,1.0195997
843,,,,0.0154554,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,2.8e-05,0.0722644,0.9720098,40.521465,1.6369281,1.0091364
844,,,,0.005423,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-06,2.42e-05,0.0309628,0.7639216,50.398335,1.7791705,1.0086828
845,,,,0.0106448,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-05,0.0001026,0.0841506,0.974066,75.24857,1.6934134,1.0084882
846,,,,0.010841,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,1.28e-05,0.0595352,0.9497702,68.33436,1.656319,1.0119562
847,,,,0.0044968,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.38e-05,0.0001716,0.0418638,0.920994,186.18082,1.7862673,1.0097345
848,,,,0.0245334,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.22e-05,0.0002358,0.0949032,0.8888616,116.95609,1.7308506,1.0055343
849,,,,0.0009048,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,6e-07,0.0002588,0.0263902,27.42616,2.0417192,1.0321982
850,,,,0.0033544,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,5.2e-06,0.0011966,0.0780524,58.029217,2.1147442,1.0321732
851,,,,0.002215,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,5.8e-06,0.0001298,0.0035384,62.71583,2.4373093,1.024988
852,,,,0.0009852,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,8.4e-06,0.0023696,0.4746868,78.287834,1.9013131,1.01863
853,,,,0.0059574,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.6e-06,5e-06,0.0029162,0.3946796,41.19751,1.9430524,1.0328846
854,,,,0.0028694,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,4.6e-06,0.0027888,0.4037756,53.565533,1.9106051,1.0324165
855,,,,0.0187852,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.8e-06,2.9e-05,0.0555588,0.828765,67.27601,1.7420695,1.0092903
856,,,,0.0025488,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.02e-05,0.0001112,0.045639,0.9469408,97.07289,1.7355388,1.0112426
857,,,,0.001482,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,3.2e-06,0.0149718,0.7771532,61.637787,1.7212335,1.0185028
858,,,,0.0413038,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,2e-06,0.0223844,0.9372288,30.101873,1.6214756,1.0177965
859,,,,0.0119232,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.6e-06,2.38e-05,0.0166744,0.6680334,52.48199,1.8376853,1.0097635
860,,,,0.0101952,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,3.8e-06,0.0083444,0.6000618,35.706295,1.8050559,1.0204757
861,,,,0.0388784,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8.2e-06,0.000101,0.2958298,0.9994558,130.83206,1.534854,1.0113729
862,,,,0.0007628,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.8e-06,1.52e-05,0.0478222,0.9792682,63.755444,1.6930693,1.0186706
863,,,,0.0009174,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-06,1.16e-05,0.004954,0.5033568,57.014767,1.873179,1.0072284
864,,,,0.0014176,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-06,5.8e-06,0.0070506,0.7305578,48.55118,1.7878051,1.0182905
865,,,,0.0018108,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.6e-06,2.32e-05,0.029579,0.5675726,62.506477,1.8620399,1.0107207
866,,,,0.0890754,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,6e-07,0.00028,0.176629,16.263416,1.7613927,1.0296848
