i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1
2,13.111599556257351,1.677131,1.0051147,0.1835745077793756,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,0.0053104568260282,0.6007465902388988
3,10.179332662233302,1.6875911,1.0058111,0.1296849889397168,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",8.449414202113368e-07,8.449414202113368e-07,0.001391618519088,0.3940130830729506
4,86.66628709436135,1.5965226,1.0162262,0.1416527392155901,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",4.224707101056684e-06,4.5626836691412185e-05,0.1826492969242442,0.9923211723731192
5,165.50932427673803,1.4982058,1.0047376,0.1103062574671698,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",1.6053886984015397e-05,0.0001166019159891,0.4474877356752856,0.999975496698814
6,41.67216765460696,1.579604,1.0197146,0.1229474260549516,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",1.6898828404226736e-06,8.449414202113368e-06,0.1188367860456234,0.9952134068545028
7,51.42088044136428,1.6924968,1.0131748,0.1869331499247157,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",1.6898828404226736e-06,1.1829179882958714e-05,0.0520399420708162,0.9351338471703756
8,141.18344566624663,1.5319057,1.0129869,0.1808377425193111,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",7.604472781902031e-06,6.759531361690695e-05,0.335850695471283,0.9997034255615058
9,82.1452551850786,1.7155033,1.0063056,0.120074625226233,glove-angular-104-1183514,"Empirical(faiss_ivf,0.1,0.2)",3.379765680845347e-06,1.6053886984015397e-05,0.0572261925080734,0.927526839564213
0,0.7703028453685041,2.7476866,1.0348183,0.0043967269577341,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
1,1.1137914108050917,8.418095,1.5501113,0.0040205548710834,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
2,1.171072528640895,3.5556512,1.6596575,0.0036788939850428,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
3,1.5819862766791144,6.7395096,2.840596,0.0050006729684118,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
4,0.8213152878991958,3.7336836,2.043538,0.0059531821052522,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
5,-inf,42.45029,1.0,0.003078399094426,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",1.0353360183047408e-05,1.0353360183047408e-05,1.3804480244063213e-05,1.3804480244063213e-05
6,2.8722114339489755,27.463078,17.153315,0.0040861261522427,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
7,1.800423910291817,13.241794,3.055097,0.0034683756613208,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
8,3.598183880978577,4.551336,1.6103227,0.0034787290215039,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,6.9022401220316056e-06
9,-inf,55.92278,38.874317,0.0092213928030342,nytimes-angular-256-289761,"Empirical(messi,0.1,0.2)",6.9022401220316056e-06,6.9022401220316056e-06,6.9022401220316056e-06,6.9022401220316056e-06
0,156.6187970826309,1.3715693,1.013434,0.1002136243317768,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",1.3804480244063213e-05,0.0002933452051863,0.9001107809539586,1.0
1,4.81248723532665,1.3842149,1.006549,0.1629825960015323,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06,0.2341446916596781
2,11.919483952739006,1.3701202,1.0064411,0.1443499987921079,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,0.1103564661911023,0.9999206242385966
3,574.6085051402433,1.3801152,1.0067669,0.1003206090536683,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",4.1413440732189633e-05,0.0004728034483591,0.9085556717432642,1.0
4,53.165553074009885,1.3299723,1.004192,0.1286784625950352,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",4.1413440732189633e-05,0.0004762545684201,0.9191195502500336,1.0
5,-inf,3.806919,2.7473686,0.1382208095637439,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",6.9022401220316056e-06,6.9022401220316056e-06,6.9022401220316056e-06,6.9022401220316056e-06
6,142.14266108708622,1.6748627,1.1929785,0.1511901187530413,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",6.9022401220316056e-06,6.9022401220316056e-06,0.0328546629808704,0.9965488799389842
7,22.713154002089265,1.3744234,1.0231901,0.1063807758808121,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",3.4511200610158028e-06,6.9022401220316056e-06,0.4945869181842967,1.0
8,7.808252779911868,1.6665027,1.0,0.1906053609699027,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,1.7255600305079012e-05,0.1245543741221213
9,7.874912680396463,1.3931538,1.0184411,0.1465725201114021,nytimes-angular-256-289761,"Empirical(faiss_ivf,0.1,0.2)",3.4511200610158028e-06,3.4511200610158028e-06,0.0034062555002225,0.9683773868809122
0,72.22372082492595,1.4689771,1.0344296,0.0012018,sald-128-100m,"Empirical(messi,0.1,0.2)",4e-07,5e-06,0.4688736,1.0
1,35.96399734458913,1.6415772,1.0384772,0.0103852,sald-128-100m,"Empirical(messi,0.1,0.2)",2e-07,6e-07,0.130047,0.9285194
