i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
513,17.368597807794146,2.2157753,1.06344,0.0045056,sald-128-100m,File(sald-128-1k),0.0134116,0.7974584,1.0
514,39.14686817632038,2.02321,1.0284011,0.0044334,sald-128-100m,File(sald-128-1k),0.1137864,1.0,1.0
515,51.23810362014876,7.920893,1.0476925,0.0018762,sald-128-100m,File(sald-128-1k),0.0006124,0.0019724,0.0086626
516,13.873242412859318,4.1328473,1.0471461,0.0091798,sald-128-100m,File(sald-128-1k),0.001409,0.0176432,0.097925
517,35.62037832231601,1.7307612,1.016208,0.0312362,sald-128-100m,File(sald-128-1k),0.4741946,1.0,1.0
518,40.99639594810734,2.4887602,1.0183191,0.0060736,sald-128-100m,File(sald-128-1k),0.036799,0.5837424,0.993713
519,25.25855389191766,1.9950436,1.036611,0.0026232,sald-128-100m,File(sald-128-1k),0.1172268,1.0,1.0
520,25.277332655068502,2.9087496,1.0243378,0.0033284,sald-128-100m,File(sald-128-1k),0.0100932,0.1669412,0.9052976
521,36.577872482624215,2.2223222,1.0221878,0.0014938,sald-128-100m,File(sald-128-1k),0.0164398,0.973055,1.0
522,52.26210319216193,1.4965725,1.0053532,0.0459198,sald-128-100m,File(sald-128-1k),0.9999996,1.0,1.0
523,14.391113178787357,2.2107196,1.0304444,0.0039426,sald-128-100m,File(sald-128-1k),0.013828,0.7302438,1.0
524,16.8213767014896,4.175677,1.0303676,0.0020456,sald-128-100m,File(sald-128-1k),0.0012462,0.0329754,0.1761166
525,20.4628688872863,1.8687742,1.0407624,0.0043398,sald-128-100m,File(sald-128-1k),0.0605268,1.0,1.0
526,10.029895548515674,5.598973,1.0179721,0.0057708,sald-128-100m,File(sald-128-1k),1.22e-05,0.0013396,0.0053776
527,42.20388880821349,2.1319287,1.0169734,0.010964,sald-128-100m,File(sald-128-1k),0.1434396,0.9998222,1.0
528,163.0187193911003,2.6401768,1.004428,0.0030826,sald-128-100m,File(sald-128-1k),0.0943016,0.5661052,1.0
529,112.39424905520073,2.2725177,1.0044616,0.0011434,sald-128-100m,File(sald-128-1k),0.1228242,0.9884914,1.0
530,15.005070763518797,6.9153094,1.0257382,0.0013312,sald-128-100m,File(sald-128-1k),0.0001272,0.000791,0.0031636
531,29.273924276802347,1.9360048,1.0240345,0.0129142,sald-128-100m,File(sald-128-1k),0.1631042,0.9957612,1.0
532,33.063561350850364,2.123757,1.0092078,0.0098098,sald-128-100m,File(sald-128-1k),0.105352,0.9503974,1.0
533,33.64576189130112,7.3944097,1.0171747,0.0030826,sald-128-100m,File(sald-128-1k),0.001017,0.005887,0.0182234
534,39.070567441838804,1.8609502,1.0112237,0.002532,sald-128-100m,File(sald-128-1k),0.356702,1.0,1.0
535,46.265806795794376,2.2252858,1.0053254,0.0182144,sald-128-100m,File(sald-128-1k),0.1713804,0.9515762,1.0
536,40.71566174977334,2.475363,1.0509868,0.0018102,sald-128-100m,File(sald-128-1k),0.0207472,0.6783124,1.0
537,31.969849324577268,2.1678824,1.0530504,0.0130296,sald-128-100m,File(sald-128-1k),0.0998776,0.960286,1.0
538,24.7546891213672,2.1443212,1.0204203,0.0095448,sald-128-100m,File(sald-128-1k),0.0881688,0.8545448,1.0
539,30.183868054098898,2.4356258,1.0287201,0.005075,sald-128-100m,File(sald-128-1k),0.0517678,0.632668,1.0
540,23.560288339073207,2.3088195,1.0236607,0.0024326,sald-128-100m,File(sald-128-1k),0.0183988,0.7129258,1.0
541,36.24629969300037,3.8140767,1.0209103,0.0011932,sald-128-100m,File(sald-128-1k),0.0020918,0.0270732,0.2446084
542,36.03096818984822,2.6627574,1.0319396,0.0013042,sald-128-100m,File(sald-128-1k),0.0041566,0.4367108,0.9967418
543,28.30536213194469,2.5453937,1.0285586,0.0043946,sald-128-100m,File(sald-128-1k),0.0314442,0.5704814,0.9914404
544,88.92330748361066,1.7542293,1.014607,0.017457,sald-128-100m,File(sald-128-1k),0.6691594,1.0,1.0
545,23.266074462910215,3.407555,1.0268402,0.0085742,sald-128-100m,File(sald-128-1k),0.005385,0.0649512,0.2229488
546,57.05496045170492,2.8040051,1.0136614,0.0069206,sald-128-100m,File(sald-128-1k),0.057912,0.3874776,0.9671186
547,26.975610340778168,2.132571,1.0325192,0.0464588,sald-128-100m,File(sald-128-1k),0.018768,0.9273164,1.0
548,16.72021072157353,2.0819006,1.0283598,0.0027256,sald-128-100m,File(sald-128-1k),0.0043222,0.9209602,1.0
549,34.56927594870318,4.506318,1.0255963,0.002717,sald-128-100m,File(sald-128-1k),0.002991,0.02059,0.1058906
550,47.379270157807134,1.3244066,1.0106627,0.166049,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
551,16.906448895356103,6.4606943,1.120249,0.0015344,sald-128-100m,File(sald-128-1k),3.88e-05,0.000428,0.0015546
552,22.970105840208053,4.6355896,1.0286454,0.0027882,sald-128-100m,File(sald-128-1k),0.0023906,0.0161564,0.0825926
553,40.44020389995645,1.5903376,1.0173465,0.0751596,sald-128-100m,File(sald-128-1k),0.9740578,1.0,1.0
554,51.04422538639406,5.2667217,1.0251691,0.0015378,sald-128-100m,File(sald-128-1k),0.0018038,0.0125332,0.062165
555,17.451396773669796,2.7100174,1.0276924,0.0031302,sald-128-100m,File(sald-128-1k),0.0044778,0.229054,0.7783026
556,24.62118218629099,5.9276085,1.0470561,0.0035758,sald-128-100m,File(sald-128-1k),0.0001604,0.0017978,0.0143404
557,38.16167349481363,1.8717837,1.0268214,0.0251098,sald-128-100m,File(sald-128-1k),0.2785994,1.0,1.0
558,54.113061347940246,1.8055183,1.0114028,0.0062972,sald-128-100m,File(sald-128-1k),0.4678928,1.0,1.0
559,31.597557896877927,2.403597,1.0167936,0.0235422,sald-128-100m,File(sald-128-1k),0.0816196,0.6803094,0.9999964
560,29.95839753929608,2.779064,1.0385768,0.0026698,sald-128-100m,File(sald-128-1k),0.0170504,0.3080936,0.9823686
561,21.93137399720518,6.177847,1.0195957,0.0012508,sald-128-100m,File(sald-128-1k),0.000279,0.001734,0.0070766
562,20.469024067350247,2.6158755,1.0428932,0.0023596,sald-128-100m,File(sald-128-1k),0.0026424,0.4098576,0.9888138
563,22.3013791132468,2.5486674,1.0225235,0.0079388,sald-128-100m,File(sald-128-1k),0.011325,0.329925,0.997249
564,30.424976954506388,1.5969796,1.0346209,0.003124,sald-128-100m,File(sald-128-1k),0.9469174,1.0,1.0
565,158.01082576882308,2.546772,1.0121344,0.0022974,sald-128-100m,File(sald-128-1k),0.1177454,0.6709298,1.0
566,37.58087419253283,2.1250417,1.0112882,0.011496,sald-128-100m,File(sald-128-1k),0.154625,0.9753532,1.0
567,54.53745506481202,1.8228452,1.0081799,0.0256748,sald-128-100m,File(sald-128-1k),0.5182618,1.0,1.0
568,21.151272163639767,2.0352852,1.0253406,0.002469,sald-128-100m,File(sald-128-1k),0.0874276,0.9922428,1.0
569,44.558981333091886,1.9550412,1.0247278,0.003082,sald-128-100m,File(sald-128-1k),0.2651988,1.0,1.0
570,17.717059286540106,3.6381726,1.0338259,0.0014664,sald-128-100m,File(sald-128-1k),0.0003932,0.0264964,0.1672922
571,36.01431444554551,2.6973917,1.0218849,0.0046434,sald-128-100m,File(sald-128-1k),0.0203868,0.297689,0.9987472
572,37.97009908881741,2.7450247,1.042482,0.0028968,sald-128-100m,File(sald-128-1k),0.011407,0.375237,0.9790882
573,22.682751911985463,3.7965117,1.0291601,0.0030302,sald-128-100m,File(sald-128-1k),0.0023204,0.0309268,0.1963978
574,39.3411294619584,2.1532168,1.018937,0.035937,sald-128-100m,File(sald-128-1k),0.115888,0.9518968,1.0
575,45.94131241990427,2.2097423,1.0093324,0.0085272,sald-128-100m,File(sald-128-1k),0.1610784,0.9095202,1.0
576,25.750151110853135,2.921325,1.0232337,0.0078936,sald-128-100m,File(sald-128-1k),0.0113826,0.2256794,0.9110014
577,27.525987909256557,3.4092066,1.0516402,0.0035422,sald-128-100m,File(sald-128-1k),0.0054536,0.1255366,0.3663958
578,22.239308420845298,2.1373343,1.0260906,0.0224536,sald-128-100m,File(sald-128-1k),0.0788576,0.9034228,1.0
579,12.031871953067261,3.2349916,1.0438473,0.0206096,sald-128-100m,File(sald-128-1k),0.0002354,0.0314348,0.295318
580,31.129348234763476,2.0477579,1.011597,0.008114,sald-128-100m,File(sald-128-1k),0.1303434,0.9970766,1.0
581,18.9637326506435,3.2838738,1.0420518,0.003174,sald-128-100m,File(sald-128-1k),0.0009004,0.0439756,0.4336692
582,15.729830909073087,3.4933245,1.0222025,0.0022842,sald-128-100m,File(sald-128-1k),0.0008138,0.0425384,0.2568208
583,19.743220232274343,1.9653618,1.0348649,0.0152618,sald-128-100m,File(sald-128-1k),0.0931234,0.990634,1.0
584,34.28475971791842,2.7161589,1.0197419,0.0107408,sald-128-100m,File(sald-128-1k),0.0455346,0.3881294,0.9883546
585,13.482092170629292,2.9734135,1.0660473,0.0028096,sald-128-100m,File(sald-128-1k),9.74e-05,0.0171968,0.273842
586,37.30698567835468,2.350504,1.047958,0.0025898,sald-128-100m,File(sald-128-1k),0.0488132,0.8662286,1.0
587,11.001541651750998,2.0872176,1.0450809,0.0314548,sald-128-100m,File(sald-128-1k),0.0008608,0.3750558,0.9991522
588,53.52306538696176,2.4559329,1.0364443,0.0014594,sald-128-100m,File(sald-128-1k),0.0500768,0.6788942,1.0
589,115.23610039842603,1.3189583,1.0111747,0.1439336,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
590,82.35608181416045,1.4129261,1.0043292,0.1818214,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
591,6.378034190249576,4.6623898,1.0419902,0.0017078,sald-128-100m,File(sald-128-1k),2.6e-06,0.0001076,0.0006394
592,91.43122353399595,1.9682449,1.0152395,0.0139842,sald-128-100m,File(sald-128-1k),0.382521,1.0,1.0
593,55.901417494204054,2.6240056,1.0172489,0.0056562,sald-128-100m,File(sald-128-1k),0.0592028,0.4331906,0.9991238
594,95.97388128685003,1.4382621,1.0095477,0.0909634,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
595,17.93096608155134,2.5762603,1.0436988,0.006906,sald-128-100m,File(sald-128-1k),0.0062894,0.3727532,0.9221926
596,50.52457263575239,1.4376874,1.0060482,0.1293732,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
597,42.5007561728786,2.0595107,1.0472919,0.0045496,sald-128-100m,File(sald-128-1k),0.116329,0.9999994,1.0
598,11.422553463982286,9.036176,1.0322033,0.001405,sald-128-100m,File(sald-128-1k),6.24e-05,0.0005756,0.0017484
599,130.54976616533702,2.5408502,1.0095787,0.0064582,sald-128-100m,File(sald-128-1k),0.0637198,0.7002806,1.0
600,30.750710784546513,2.6704638,1.0213318,0.0034458,sald-128-100m,File(sald-128-1k),0.0296184,0.4724852,0.9987738
601,141.84493655866726,1.3211193,1.012449,0.0599078,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
602,30.426574599107298,2.0009303,1.0221324,0.0028734,sald-128-100m,File(sald-128-1k),0.1054204,0.9999962,1.0
603,25.344686637743003,3.4688172,1.0313889,0.0049552,sald-128-100m,File(sald-128-1k),0.002187,0.0559248,0.3889298
604,26.61439085575182,2.2334127,1.0375657,0.0046692,sald-128-100m,File(sald-128-1k),0.0379908,0.8026044,1.0
605,21.621114088051595,3.911638,1.0701777,0.0018692,sald-128-100m,File(sald-128-1k),0.001055,0.0183586,0.1397356
606,34.80487300044574,2.0130448,1.019963,0.0252674,sald-128-100m,File(sald-128-1k),0.154128,0.9956914,1.0
607,16.808031233261925,2.7196157,1.0363654,0.0015318,sald-128-100m,File(sald-128-1k),0.0053394,0.225964,0.8365268
608,22.073610207072814,3.4771304,1.0419198,0.0014838,sald-128-100m,File(sald-128-1k),0.0004086,0.0203128,0.3116774
609,20.452511943786487,2.6875787,1.0361974,0.0034858,sald-128-100m,File(sald-128-1k),0.005528,0.2051156,0.9715626
610,38.02143959072269,2.0560565,1.0348274,0.0124966,sald-128-100m,File(sald-128-1k),0.1751142,0.9949762,1.0
611,33.389841330322355,2.8726223,1.0491645,0.0038022,sald-128-100m,File(sald-128-1k),0.0099838,0.2947252,0.8949394
612,19.073132144439132,10.140464,1.0469694,0.0017608,sald-128-100m,File(sald-128-1k),0.0002638,0.0019606,0.0059444
613,22.984547121002933,3.5019515,1.0110718,0.0030968,sald-128-100m,File(sald-128-1k),0.0043524,0.0431142,0.2498048
614,35.912331193959155,7.1326046,1.025943,0.00118,sald-128-100m,File(sald-128-1k),0.000411,0.0023918,0.010374
615,14.907262539146338,2.0971398,1.0164256,0.0042066,sald-128-100m,File(sald-128-1k),0.0276842,0.835506,1.0
616,30.489162474495906,2.028458,1.0157405,0.0088158,sald-128-100m,File(sald-128-1k),0.1654818,0.9913754,1.0
617,22.30559481323972,3.1885536,1.0425086,0.0023058,sald-128-100m,File(sald-128-1k),0.0016692,0.0886364,0.6088694
618,16.738103616784922,2.3667006,1.0421841,0.0017704,sald-128-100m,File(sald-128-1k),0.0053688,0.7175724,1.0
619,15.30984908195762,2.8770754,1.0201536,0.0080862,sald-128-100m,File(sald-128-1k),0.006284,0.1073868,0.636357
620,33.296622307405094,1.9949853,1.0428677,0.0079986,sald-128-100m,File(sald-128-1k),0.1568494,1.0,1.0
