i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
9,15.858280542395416,1.3784555,1.0187291,0.5593609906095023,nytimes-angular-256-289761,"Annealing(rc, hard)",3.4511200610158028e-06,2.0706720366094817e-05,0.0009387046565962
0,10.207652507434934,2.8607743,1.0074499,0.0038972,sald-128-100m,"Annealing(rc, easy)",0.0016234,0.0775098,0.5895294
1,7.322510397563467,1.4514384,1.017225,0.0235096,sald-128-100m,"Annealing(rc, easy)",2e-07,2.6e-06,0.3027402
2,7.986050782194236,2.3433533,1.0079914,0.0023836,sald-128-100m,"Annealing(rc, easy)",1.4e-06,0.0102994,0.367983
3,9.78676998165034,2.38743,1.008993,0.0047216,sald-128-100m,"Annealing(rc, easy)",1.68e-05,0.0294358,0.505766
4,6.177239404969336,1.3685015,1.0182297,0.1066344,sald-128-100m,"Annealing(rc, easy)",2e-07,2e-07,0.0089004
5,52.81415767626364,1.9076266,1.0185925,0.0018846,sald-128-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
6,4.267622925761748,1.8490068,1.0236456,0.0314776,sald-128-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
7,43.79988407290863,1.9745944,1.013284,0.0234784,sald-128-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
8,7.049267652907937,1.5235646,1.0174286,0.0541826,sald-128-100m,"Annealing(rc, easy)",2e-07,2e-07,0.1194484
9,18.48444802126595,2.9635038,1.0084321,0.0026474,sald-128-100m,"Annealing(rc, easy)",0.0239882,0.3130158,0.9511838
0,9.575454211688662,2.8736196,1.0133024,0.002195,sald-128-100m,"Annealing(rc, medium)",0.0013728,0.0746346,0.5938732
1,6.266385473481266,1.3376406,1.0057178,0.0577918,sald-128-100m,"Annealing(rc, medium)",2e-07,2e-07,0.0505312
2,7.672044612830446,2.277196,1.0100688,0.0045044,sald-128-100m,"Annealing(rc, medium)",3.2e-06,0.014797,0.4638938
3,9.006990287547247,2.3322718,1.011205,0.0027246,sald-128-100m,"Annealing(rc, medium)",1.52e-05,0.0402088,0.5877288
4,5.459030950843057,1.2845854,1.0041069,0.139373,sald-128-100m,"Annealing(rc, medium)",2e-07,2e-07,4e-06
5,7.842277852227614,1.7442284,1.0062894,0.0065988,sald-128-100m,"Annealing(rc, medium)",2e-07,0.0003328,0.190365
6,6.262084829667324,1.7355083,1.0050308,0.0291008,sald-128-100m,"Annealing(rc, medium)",2e-07,8e-06,0.0721082
7,7.867373077165741,1.8222258,1.0074098,0.0197976,sald-128-100m,"Annealing(rc, medium)",2e-07,0.0181806,0.5333194
8,6.203633973668401,1.4114255,1.0059661,0.0714006,sald-128-100m,"Annealing(rc, medium)",2e-07,2e-07,0.019214
9,15.927820105387203,3.1988735,1.0056522,0.0039608,sald-128-100m,"Annealing(rc, medium)",0.01322,0.2139136,0.738338
