i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
70,18.55971087985898,2.444585,1.0205729,0.037116666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10291666666666667,0.45708333333333334,0.8570333333333333
71,14.62793949854255,3.365823,1.0455667,0.025183333333333332,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0586,0.34908333333333336,0.7196166666666667
72,17.18476520484393,2.6092145,1.0749792,0.011066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.036533333333333334,0.5699666666666666,1.0
73,10.549115831912776,2.7869334,1.0507162,0.0569,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0008833333333333333,0.06788333333333334,0.30261666666666664
74,16.07356360601929,3.6310647,1.0889819,0.010383333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.015366666666666667,0.19333333333333333,0.63775
75,18.949210707002525,3.113774,1.0445462,0.020433333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.082,0.44176666666666664,0.7703833333333333
76,25.325682586403857,4.441463,1.043114,0.010033333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.021133333333333334,0.12541666666666668,0.3603166666666667
77,22.62953179211661,3.5180526,1.0435674,0.0087,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.030766666666666668,0.22086666666666666,0.6980333333333333
78,32.0020808792686,2.0634296,1.0339355,0.02665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.32111666666666666,1.0,1.0
79,20.890003881444894,3.637824,1.0532405,0.022483333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.048233333333333336,0.22088333333333332,0.6558833333333334
