iteration,rc,elapsed_s,query_index,dataset,method,method_params
58,1.1341622,14.318135261535645,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
59,1.1322668,14.541651487350464,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
60,1.1299644,14.76626992225647,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
61,1.1277026,14.989442110061646,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
62,1.1257478,15.212225675582886,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
63,1.1238602,15.434938669204712,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
64,1.1211867,15.656912803649902,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
65,1.1193751,15.877535820007324,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
66,1.1181139,16.099023580551147,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
67,1.1166666,16.32237982749939,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
68,1.1150184,16.545628309249878,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
69,1.1135845,16.771777153015137,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
70,1.1118242,16.99368667602539,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
71,1.1101102,17.21551752090454,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
72,1.1087822,17.436850786209106,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
73,1.1075728,17.659133195877075,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
74,1.1061305,17.88050866127014,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
75,1.1044444,18.10202670097351,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
76,1.1028804,18.32381272315979,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
77,1.1015816,18.546571493148804,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
78,1.1002371,18.76808762550354,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
79,1.0988251,18.990296602249146,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
80,1.0972052,19.21139645576477,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
81,1.0957681,19.433857917785645,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
82,1.0944121,19.65666437149048,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
83,1.0932935,19.879419088363647,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
84,1.0919712,20.10033106803894,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
85,1.09047,20.32243847846985,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
86,1.0892522,20.544352054595947,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
87,1.0874529,20.768430948257446,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
88,1.0866694,21.063947916030884,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
89,1.0859269,21.270831823349,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
90,1.0847007,21.48450183868408,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
91,1.0836124,21.762285709381104,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
92,1.0825801,21.96826839447021,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
