i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
983,14.010810718887221,3.0066903,1.0591117,0.004228,sald-128-1m,File(sald-128-1k),0.002117,0.050688,0.39602
984,129.83642156104466,1.2876995,1.0084202,0.131657,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
985,26.620623530532647,2.0803673,1.020075,0.010281,sald-128-1m,File(sald-128-1k),0.043277,0.807136,1.0
986,16.077372365660707,2.240039,1.0282941,0.002351,sald-128-1m,File(sald-128-1k),0.003924,0.492483,0.99976
987,16.028449878203347,2.6826262,1.0200082,0.001923,sald-128-1m,File(sald-128-1k),0.001655,0.041394,0.43551
988,25.199738265935355,2.4739428,1.0240449,0.006953,sald-128-1m,File(sald-128-1k),0.026448,0.447527,0.934721
989,19.32111274491072,1.6072338,1.0341531,0.005656,sald-128-1m,File(sald-128-1k),0.392251,1.0,1.0
990,33.57227719133979,2.4150944,1.0331331,0.003041,sald-128-1m,File(sald-128-1k),0.030168,0.519965,1.0
991,24.825160731857093,1.8241664,1.0208145,0.046389,sald-128-1m,File(sald-128-1k),0.193528,0.99995,1.0
992,29.733589999555324,3.2206252,1.0174406,0.010462,sald-128-1m,File(sald-128-1k),0.008622,0.096185,0.414453
993,27.271606688755437,1.6802816,1.0344725,0.051038,sald-128-1m,File(sald-128-1k),0.365614,1.0,1.0
994,45.425707702243386,1.7525744,1.0308802,0.017626,sald-128-1m,File(sald-128-1k),0.232064,0.999862,1.0
995,64.73039846947428,1.4592885,1.0083139,0.085941,sald-128-1m,File(sald-128-1k),0.996454,1.0,1.0
996,26.06991748076869,1.9254841,1.0366988,0.010813,sald-128-1m,File(sald-128-1k),0.126782,0.981743,1.0
997,21.877873043891633,2.6859796,1.0321183,0.003157,sald-128-1m,File(sald-128-1k),0.002727,0.155062,0.891195
998,39.996873926522966,2.2945116,1.0231388,0.020512,sald-128-1m,File(sald-128-1k),0.063133,0.627777,1.0
999,18.810510804689976,2.2023888,1.0184091,0.006156,sald-128-1m,File(sald-128-1k),0.021756,0.549643,0.996051
