dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),454,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0010594844818115235,0.001567,1.0
sald-128-1m,File(sald-128-1k),455,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.0002492666244506836,0.000347,1.0
sald-128-1m,File(sald-128-1k),456,faiss_hnsw,0.95,"{""efSearch"": 1024, ""index_params"": ""HNSW32""}",0.01352229118347168,0.0204,1.0
sald-128-1m,File(sald-128-1k),457,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0075860261917114254,0.000546,1.0
sald-128-1m,File(sald-128-1k),458,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.005864095687866211,0.000214,1.0
sald-128-1m,File(sald-128-1k),459,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.00892791748046875,0.000518,1.0
sald-128-1m,File(sald-128-1k),460,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.009649300575256347,0.000369,1.0
sald-128-1m,File(sald-128-1k),461,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008933019638061524,0.00085,1.0
sald-128-1m,File(sald-128-1k),462,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.0070189952850341795,0.000181,1.0
sald-128-1m,File(sald-128-1k),463,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008137893676757813,0.000399,1.0
sald-128-1m,File(sald-128-1k),464,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008253860473632812,0.000633,1.0
sald-128-1m,File(sald-128-1k),465,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009040641784667968,0.000507,1.0
sald-128-1m,File(sald-128-1k),466,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008347010612487793,0.00047,1.0
sald-128-1m,File(sald-128-1k),467,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0005223989486694336,0.001642,1.0
sald-128-1m,File(sald-128-1k),468,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0005537033081054688,0.001758,1.0
sald-128-1m,File(sald-128-1k),469,faiss_hnsw,0.95,"{""efSearch"": 1, ""index_params"": ""HNSW32""}",0.006349682807922363,9.6e-05,1.0
sald-128-1m,File(sald-128-1k),470,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0005167722702026367,0.00158,1.0
sald-128-1m,File(sald-128-1k),471,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0026849746704101563,0.001148,1.0
sald-128-1m,File(sald-128-1k),472,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008444714546203613,0.001062,1.0
sald-128-1m,File(sald-128-1k),473,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00856003761291504,0.000285,1.0
sald-128-1m,File(sald-128-1k),474,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.000570225715637207,0.001856,1.0
sald-128-1m,File(sald-128-1k),475,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.017400169372558595,0.045209,1.0
sald-128-1m,File(sald-128-1k),476,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.016237568855285645,0.040768,1.0
sald-128-1m,File(sald-128-1k),477,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.009642767906188964,0.000292,1.0
sald-128-1m,File(sald-128-1k),478,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.006779623031616211,0.000997,1.0
sald-128-1m,File(sald-128-1k),479,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009045052528381347,0.000483,1.0
sald-128-1m,File(sald-128-1k),480,faiss_hnsw,0.95,"{""efSearch"": 512, ""index_params"": ""HNSW32""}",0.003655099868774414,0.010802,1.0
sald-128-1m,File(sald-128-1k),481,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.001175999641418457,0.004123,1.0
sald-128-1m,File(sald-128-1k),482,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.006994414329528809,0.001293,1.0
sald-128-1m,File(sald-128-1k),483,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.013799619674682618,0.020429,1.0
sald-128-1m,File(sald-128-1k),484,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.006959676742553711,0.000204,1.0
sald-128-1m,File(sald-128-1k),485,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.006498026847839356,0.000209,1.0
sald-128-1m,File(sald-128-1k),486,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.00894789695739746,0.000632,1.0
sald-128-1m,File(sald-128-1k),487,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009161686897277832,0.00071,1.0
sald-128-1m,File(sald-128-1k),488,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.010347485542297363,9.3e-05,1.0
sald-128-1m,File(sald-128-1k),489,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00831618309020996,0.000365,1.0
sald-128-1m,File(sald-128-1k),490,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.0027575969696044924,0.000532,1.0
sald-128-1m,File(sald-128-1k),491,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0006075620651245118,0.001051,1.0
sald-128-1m,File(sald-128-1k),492,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.001849818229675293,0.005445,1.0
